order_id,customer_id,order_date,total_amount
1,bffb79ef,2024-02-23 11:58:57.734153,409.63
2,362a73cf,2024-08-24 11:58:57.734466,130.13
3,5a8ab125,2024-04-11 11:58:57.734667,344.95
4,3428d511,2024-07-28 11:58:57.734917,150.83
5,c2fb77f4,2024-10-22 11:58:57.735104,492.92
6,3b2ed105,2024-10-17 11:58:57.735209,487.62
7,59e17f22,2024-10-13 11:58:57.735293,371.6
8,d206aced,2024-01-23 11:58:57.735368,284.21
9,67822873,2024-11-20 11:58:57.735442,432.67
10,6f56bf62,2024-02-08 11:58:57.735516,323.99
11,2c7e05e0,2024-06-06 11:58:57.735592,452.44
12,ebc15996,2024-01-11 11:58:57.735665,88.88
13,6edc58f4,2024-02-28 11:58:57.735735,436.65
14,faf1d1c8,2024-03-13 11:58:57.735887,171.32
15,6e3af1ec,2024-11-10 11:58:57.736000,475.04
16,a0798143,2024-12-01 11:58:57.736094,382.46
17,e0476d1d,2024-08-05 11:58:57.736174,476.76
18,c69e952c,2024-02-12 11:58:57.736248,81.91
19,acb150ba,2024-09-26 11:58:57.736319,127.44
20,4f3d8f42,2024-03-28 11:58:57.736390,497.09
21,c2181eac,2024-10-19 11:58:57.736461,357.95
22,9a5444a1,2024-10-30 11:58:57.736532,351.44
23,d48927c2,2024-10-03 11:58:57.736605,212.64
24,1a33c740,2024-03-28 11:58:57.736697,232.12
25,6c4863c6,2024-05-14 11:58:57.736844,314.41
26,6d97d421,2023-12-29 11:58:57.736976,128.41
27,da2504f8,2024-11-09 11:58:57.737070,170.6
28,cf9a078d,2024-11-07 11:58:57.737159,476.65
29,51dbb291,2024-06-30 11:58:57.737234,496.82
30,9b872a6d,2024-10-24 11:58:57.737303,339.59
31,1b5e841a,2024-11-06 11:58:57.737373,132.47
32,4ccf4c8d,2024-08-05 11:58:57.737442,477.33
33,6b0b46fe,2024-04-20 11:58:57.737511,326.13
34,6b4eb77f,2024-11-29 11:58:57.737605,300.08
35,cdbc234c,2024-10-24 11:58:57.737690,367.78
36,87565689,2024-05-06 11:58:57.737807,424.71
37,809485ab,2024-09-07 11:58:57.737913,203.39
38,4efcb017,2024-02-26 11:58:57.737991,224.89
39,9a6c6665,2024-09-24 11:58:57.738150,389.96
40,4cbb36ce,2024-01-31 11:58:57.738302,297.07
41,a377b970,2024-06-30 11:58:57.738460,110.81
42,360d0ac2,2024-09-02 11:58:57.738628,316.11
43,7bfbe7bc,2024-07-08 11:58:57.738820,361.72
44,3cd1df03,2024-07-08 11:58:57.738983,58.85
45,cf4b68e0,2024-12-04 11:58:57.739138,390.88
46,69f7b96f,2024-10-17 11:58:57.739295,235.59
47,b2106d7e,2024-02-08 11:58:57.739457,318.48
48,e77e04be,2024-01-08 11:58:57.739643,173.45
49,8c6dc913,2024-08-31 11:58:57.739823,422.57
50,4211ac3e,2024-10-21 11:58:57.739993,120.7
51,df00264f,2024-10-22 11:58:57.740163,379.5
52,9ad2e718,2024-01-30 11:58:57.740330,183.58
53,132c3d59,2024-06-27 11:58:57.740490,462.57
54,3f515f46,2023-12-14 11:58:57.740649,123.75
55,9396f608,2024-02-11 11:58:57.740822,180.33
56,be02e41a,2024-08-27 11:58:57.740982,297.94
57,e905d489,2024-02-18 11:58:57.741133,58.96
58,144090c5,2024-07-19 11:58:57.741289,137.64
59,b90609f3,2024-06-05 11:58:57.741447,269.96
60,a02c641d,2024-06-25 11:58:57.741645,77.48
61,d3b0e19b,2024-08-05 11:58:57.741857,175.3
62,0649cb11,2024-02-10 11:58:57.742030,284.33
63,8e99984c,2024-04-05 11:58:57.742201,370.55
64,c77ba3ce,2024-10-23 11:58:57.742363,474.75
65,2cda5c8e,2024-01-15 11:58:57.742520,451.53
66,583053b9,2024-07-13 11:58:57.742678,246.45
67,c0a0e8c3,2024-06-24 11:58:57.742867,210.28
68,dde736e3,2024-04-02 11:58:57.743035,305.88
69,a824ec61,2024-01-05 11:58:57.743187,102.81
70,ddcd1440,2024-10-11 11:58:57.743353,299.32
71,f334f9ae,2024-10-10 11:58:57.743515,103.39
72,fa64d0cf,2024-11-30 11:58:57.743678,55.57
73,173de949,2024-06-28 11:58:57.743874,203.52
74,1a1cdc06,2024-02-07 11:58:57.744046,331.63
75,48ed0df9,2024-08-18 11:58:57.744195,196.7
76,4f6f85c4,2024-10-28 11:58:57.744331,190.52
77,ebc77229,2024-07-14 11:58:57.744480,388.36
78,2a03bd01,2024-09-02 11:58:57.744625,169.33
79,976016a4,2024-12-01 11:58:57.744789,479.38
80,b531a497,2024-05-06 11:58:57.744946,319.14
81,4954de6c,2024-02-13 11:58:57.745107,430.14
82,f87c3a2c,2024-09-01 11:58:57.745248,317.39
83,b9b4ea43,2024-03-07 11:58:57.745712,325.05
84,ce142ff0,2024-11-26 11:58:57.745912,392.65
85,f68d7646,2024-03-08 11:58:57.746074,90.32
86,9f904a84,2024-09-10 11:58:57.746237,436.08
87,0fd9b978,2024-10-22 11:58:57.746389,213.46
88,6db1eccf,2024-11-27 11:58:57.746551,322.12
89,70dbb7d7,2023-12-18 11:58:57.746701,374.26
90,1f31549d,2024-01-24 11:58:57.746902,380.46
91,4cf3fd4f,2024-09-14 11:58:57.747066,66.87
92,ca27801c,2024-09-07 11:58:57.747214,346.58
93,ec5dc4c3,2024-04-17 11:58:57.747370,178.56
94,8d28d9aa,2024-02-28 11:58:57.747525,283.83
95,7fa22399,2024-03-18 11:58:57.747691,470.28
96,84906f86,2024-10-31 11:58:57.747886,295.73
97,6b29a4e1,2024-02-25 11:58:57.748052,353.94
98,bd4750d3,2024-10-17 11:58:57.748212,472.97
99,2a816414,2024-08-16 11:58:57.748368,466.98
100,0c4d6e51,2024-05-05 11:58:57.748514,364.22
101,7f6166e0,2024-05-18 11:58:57.748668,64.15
102,04591bf6,2024-08-09 11:58:57.748841,118.39
103,71e16c8e,2024-11-20 11:58:57.748992,206.7
104,a6c067d4,2024-10-21 11:58:57.749134,100.81
105,49f1d1d7,2024-10-17 11:58:57.749283,131.49
106,0a139bec,2024-11-10 11:58:57.749439,393.08
107,12bf3963,2024-08-12 11:58:57.749669,82.13
108,1c4e249b,2024-10-07 11:58:57.750020,315.98
109,57433f5e,2024-10-28 11:58:57.750241,283.38
110,96a8f6ce,2024-10-01 11:58:57.750425,135.5
111,ca0e6823,2024-09-09 11:58:57.750606,73.56
112,5fbd42e6,2024-06-14 11:58:57.750814,353.2
113,ef746c56,2024-07-19 11:58:57.751002,359.02
114,a9f7b9f5,2023-12-18 11:58:57.751179,380.61
115,923f0f2a,2024-10-28 11:58:57.751349,173.89
116,0fed71a9,2024-06-01 11:58:57.751522,324.24
117,192ce659,2024-05-23 11:58:57.751681,87.53
118,bcc4bbfe,2024-01-15 11:58:57.751904,259.31
119,7425a743,2024-03-15 11:58:57.752072,331.01
120,1a20f2a5,2024-01-27 11:58:57.752229,195.41
121,b5f18940,2024-03-02 11:58:57.752393,348.4
122,e08fc691,2024-07-09 11:58:57.752551,327.18
123,16b0f0c9,2024-08-08 11:58:57.752708,360.25
124,4005ff70,2024-11-08 11:58:57.752916,257.26
125,cf4ff1a8,2024-04-15 11:58:57.753088,274.62
126,80512255,2024-05-17 11:58:57.753242,277.65
127,c27327ec,2024-07-01 11:58:57.753401,100.92
128,885f512d,2024-04-06 11:58:57.753564,280.43
129,71220929,2024-10-13 11:58:57.753722,84.63
130,dd11f0e9,2024-06-29 11:58:57.753977,461.53
131,b8ea7fff,2024-06-20 11:58:57.754145,402.89
132,5ce5e076,2024-02-27 11:58:57.754310,56.29
133,6e0cfe08,2024-04-20 11:58:57.754473,58.38
134,3661eff1,2024-06-19 11:58:57.754631,121.5
135,72935530,2024-04-05 11:58:57.754838,136.25
136,bbcc645d,2024-01-22 11:58:57.755017,57.53
137,0d3865a9,2024-07-26 11:58:57.755188,472.28
138,db616d89,2024-10-04 11:58:57.755348,98.94
139,71e15051,2024-02-18 11:58:57.755508,102.74
140,f2317831,2024-12-03 11:58:57.755675,339.62
141,82484c99,2024-01-29 11:58:57.755865,129.66
142,e4a213f8,2024-04-29 11:58:57.756038,284.98
143,f9ce6570,2024-11-23 11:58:57.756210,199.88
144,bf9ab6c9,2024-10-21 11:58:57.756380,406.16
145,ec3254f3,2024-10-26 11:58:57.756546,417.33
146,96a8f6ce,2024-04-06 11:58:57.756705,224.56
147,792a85ef,2024-01-21 11:58:57.756900,76.54
148,ae365110,2024-07-28 11:58:57.757059,328.7
149,56b73156,2024-03-18 11:58:57.757206,301.01
150,49454495,2024-10-30 11:58:57.757355,279.89
151,1f72a59d,2024-07-18 11:58:57.757511,367.41
152,ea1d065f,2024-05-20 11:58:57.757671,475.5
153,1ddbe194,2024-10-02 11:58:57.757899,101.36
