product_id,product_name,category
1,Product_727,Books
2,Product_717,Sports
3,Product_305,Books
4,Product_636,Clothing
5,Product_902,Books
6,Product_242,Books
7,Product_623,Electronics
8,Product_537,Home
9,Product_800,Clothing
10,Product_907,Home
11,Product_799,Books
12,Product_472,Books
13,Product_859,Clothing
14,Product_867,Home
15,Product_911,Toys
16,Product_169,Books
17,Product_946,Toys
18,Product_698,Sports
19,Product_803,Sports
20,Product_853,Home
21,Product_941,Books
22,Product_377,Sports
23,Product_755,Home
24,Product_191,Toys
25,Product_370,Clothing
26,Product_135,Electronics
27,Product_602,Sports
28,Product_643,Toys
29,Product_508,Electronics
30,Product_659,Sports
31,Product_654,Electronics
32,Product_579,Clothing
33,Product_893,Clothing
34,Product_170,Books
35,Product_830,Clothing
36,Product_680,Books
37,Product_530,Home
38,Product_694,Sports
39,Product_490,Toys
40,Product_519,Sports
41,Product_502,Electronics
42,Product_100,Home
43,Product_602,Home
44,Product_119,Books
45,Product_368,Toys
46,Product_671,Electronics
47,Product_308,Sports
48,Product_141,Sports
49,Product_118,Toys
50,Product_963,Sports
51,Product_760,Clothing
52,Product_488,Toys
53,Product_523,Books
54,Product_109,Sports
55,Product_251,Books
56,Product_697,Books
57,Product_613,Books
58,Product_539,Books
59,Product_730,Home
60,Product_508,Home
61,Product_122,Clothing
62,Product_155,Books
63,Product_154,Books
64,Product_136,Home
65,Product_423,Toys
66,Product_160,Toys
67,Product_471,Electronics
68,Product_248,Sports
69,Product_446,Books
70,Product_873,Toys
71,Product_566,Books
72,Product_321,Home
73,Product_350,Sports
74,Product_608,Sports
75,Product_222,Sports
76,Product_327,Clothing
77,Product_720,Books
78,Product_771,Clothing
79,Product_195,Clothing
80,Product_513,Books
81,Product_476,Sports
82,Product_369,Toys
83,Product_650,Toys
84,Product_684,Clothing
85,Product_236,Home
86,Product_295,Home
87,Product_341,Toys
88,Product_375,Clothing
89,Product_916,Books
90,Product_597,Toys
91,Product_470,Home
92,Product_792,Books
93,Product_167,Books
94,Product_350,Electronics
95,Product_987,Clothing
96,Product_550,Electronics
97,Product_847,Home
98,Product_540,Toys
99,Product_920,Toys
100,Product_230,Books
101,Product_610,Sports
102,Product_387,Toys
103,Product_101,Home
104,Product_877,Books
105,Product_739,Clothing
106,Product_182,Electronics
107,Product_728,Toys
108,Product_940,Books
109,Product_408,Electronics
110,Product_798,Electronics
111,Product_380,Clothing
112,Product_988,Sports
113,Product_923,Electronics
114,Product_659,Toys
115,Product_580,Toys
116,Product_407,Home
117,Product_247,Toys
118,Product_182,Electronics
119,Product_625,Clothing
120,Product_898,Clothing
121,Product_621,Toys
122,Product_108,Clothing
123,Product_610,Sports
124,Product_701,Toys
125,Product_248,Clothing
126,Product_527,Home
127,Product_816,Toys
128,Product_899,Books
129,Product_328,Home
130,Product_206,Clothing
131,Product_245,Books
132,Product_213,Toys
133,Product_590,Sports
134,Product_861,Home
135,Product_577,Electronics
136,Product_233,Toys
137,Product_368,Toys
138,Product_557,Clothing
139,Product_129,Toys
140,Product_967,Clothing
141,Product_927,Toys
142,Product_744,Toys
143,Product_273,Sports
144,Product_476,Books
145,Product_438,Books
146,Product_930,Toys
147,Product_629,Clothing
148,Product_931,Electronics
149,Product_150,Clothing
150,Product_767,Electronics
151,Product_565,Home
152,Product_695,Electronics
153,Product_280,Sports
154,Product_633,Clothing
155,Product_640,Sports
156,Product_381,Books
157,Product_150,Home
158,Product_153,Clothing
159,Product_283,Toys
160,Product_323,Toys
161,Product_271,Toys
162,Product_122,Books
163,Product_432,Toys
164,Product_574,Toys
165,Product_126,Sports
166,Product_206,Home
167,Product_371,Home
168,Product_713,Sports
169,Product_451,Sports
170,Product_249,Sports
171,Product_354,Sports
172,Product_973,Books
173,Product_364,Clothing
174,Product_564,Clothing
175,Product_450,Sports
176,Product_745,Sports
177,Product_235,Electronics
178,Product_187,Electronics
179,Product_692,Home
180,Product_929,Electronics
181,Product_938,Sports
182,Product_105,Books
183,Product_167,Home
184,Product_729,Toys
185,Product_760,Sports
186,Product_470,Books
187,Product_415,Electronics
188,Product_622,Electronics
189,Product_260,Books
190,Product_657,Sports
191,Product_815,Home
192,Product_376,Home
193,Product_418,Electronics
194,Product_513,Electronics
195,Product_699,Clothing
196,Product_198,Sports
197,Product_184,Toys
198,Product_212,Toys
199,Product_233,Clothing
200,Product_638,Electronics
